symbol,open,close,high,low,volume,changePercent,date,companyName,sector
CNP,29.15,29.07,29.24,28.92,2499173,-0.0003,2019-10-31,Centerpoint Energy Inc.,Utilities
CNP,29.07,29.02,29.16,28.94,2703224,-0.0017,2019-11-01,Centerpoint Energy Inc.,Utilities
CNP,28.96,28.91,29.28,28.795,3922730,-0.0038,2019-11-04,Centerpoint Energy Inc.,Utilities
CNP,28.89,28.74,29.07,28.69,4278275,-0.0059,2019-11-05,Centerpoint Energy Inc.,Utilities
CNP,28.76,28.77,29.115,28.76,4258142,0.001,2019-11-06,Centerpoint Energy Inc.,Utilities
CNP,28.74,29.0,29.105,28.17,5569906,0.008,2019-11-07,Centerpoint Energy Inc.,Utilities
CNP,28.85,28.78,29.07,28.62,5574395,-0.0076,2019-11-08,Centerpoint Energy Inc.,Utilities
CNP,28.71,27.7,28.75,27.53,6165641,-0.0375,2019-11-11,Centerpoint Energy Inc.,Utilities
CNP,27.72,27.94,27.98,27.57,3945777,0.0087,2019-11-12,Centerpoint Energy Inc.,Utilities
CNP,28.0,28.09,28.19,27.83,3766070,0.0054,2019-11-13,Centerpoint Energy Inc.,Utilities
CNP,28.1,26.69,28.28,26.59,14522350,-0.0498,2019-11-14,Centerpoint Energy Inc.,Utilities
CNP,25.68,25.48,26.89,25.089,18773405,-0.0453,2019-11-15,Centerpoint Energy Inc.,Utilities
CNP,25.62,25.16,25.65,25.09,7679460,-0.0126,2019-11-18,Centerpoint Energy Inc.,Utilities
CNP,25.14,25.34,25.36,24.8,8525596,0.0072,2019-11-19,Centerpoint Energy Inc.,Utilities
CNP,25.02,24.45,25.1,24.37,7032916,-0.0351,2019-11-20,Centerpoint Energy Inc.,Utilities
CNP,24.29,24.54,24.58,24.25,9361413,0.0037,2019-11-21,Centerpoint Energy Inc.,Utilities
CNP,24.5,24.75,25.02,24.32,6194931,0.0086,2019-11-22,Centerpoint Energy Inc.,Utilities
CNP,24.75,24.8,24.91,24.625,4678117,0.002,2019-11-25,Centerpoint Energy Inc.,Utilities
